id;client_id;card_brand;card_type;card_number;expires;cvv;has_chip;num_cards_issued;credit_limit;acct_open_date;year_pin_last_changed;card_on_dark_web
4524;825;Visa;Debit;4,34468E+15;dez/22;623;YES;2;$24295;set/02;2008;No
2731;825;Visa;Debit;4,95697E+15;dez/20;393;YES;2;$21968;abr/14;2014;No
3701;825;Visa;Debit;4,58231E+15;fev/24;719;YES;2;$46414;jul/03;2004;No
42;825;Visa;Credit;4,87949E+15;ago/24;693;NO;1;$12400;jan/03;2012;No
4659;825;Mastercard;Debit (Prepaid);5,72287E+15;mar/09;75;YES;1;$28;set/08;2009;No
4537;1746;Visa;Credit;4,4049E+15;set/03;736;YES;1;$27500;set/03;2012;No
1278;1746;Visa;Debit;4,00148E+15;jul/22;972;YES;2;$28508;fev/11;2011;No
3687;1746;Mastercard;Debit;5,62722E+15;jun/22;48;YES;2;$9022;jul/03;2015;No
3465;1746;Mastercard;Debit (Prepaid);5,71138E+15;nov/20;722;YES;2;$54;jun/10;2015;No
3754;1746;Mastercard;Debit (Prepaid);5,76612E+15;fev/23;908;YES;1;$99;jul/06;2012;No
5144;1718;Mastercard;Debit;5,4952E+15;mar/22;677;YES;2;$31599;out/09;2009;No
2029;1718;Mastercard;Debit;5,8045E+15;jul/23;258;NO;2;$27480;mar/02;2008;No
2379;1718;Mastercard;Debit;5,76635E+15;fev/20;992;YES;1;$26743;mar/19;2019;No
2732;1718;Visa;Debit;4,24202E+15;jun/20;928;YES;1;$31463;abr/14;2014;No
4706;1718;Mastercard;Debit;5,19103E+15;jun/24;360;YES;1;$16055;set/09;2009;No
281;708;Visa;Credit;4,01726E+15;mai/15;877;YES;2;$98100;jan/11;2011;No
1106;708;Mastercard;Debit (Prepaid);5,58197E+15;jun/20;448;YES;1;$62;fev/07;2007;No
5621;708;Visa;Debit;4,03224E+15;jun/22;53;YES;1;$132439;nov/10;2011;No
5165;708;Visa;Debit;4,93597E+15;jun/20;649;YES;1;$125723;out/09;2010;No
5757;1164;Mastercard;Debit;5,90503E+15;jan/22;886;YES;1;$34900;dez/99;2012;No
27;68;Visa;Credit;4,09962E+15;set/21;74;YES;2;$9900;jan/02;2019;No
4648;68;Visa;Debit;4,2812E+15;jul/13;865;YES;2;$21587;set/07;2007;No
5435;68;Visa;Credit;4,41146E+15;nov/22;922;YES;2;$15800;nov/05;2011;No
3287;1075;Mastercard;Debit;5,20248E+15;abr/22;861;YES;1;$29964;jun/05;2014;No
4761;1075;Mastercard;Credit;5,08977E+15;jul/23;686;YES;2;$11200;set/10;2010;No
5286;1075;Mastercard;Debit;5,76734E+15;dez/21;669;NO;2;$26753;out/14;2014;No
744;1711;Visa;Debit;4,59583E+15;mai/23;689;NO;2;$17480;jan/20;2020;No
5559;1116;Mastercard;Debit;5,34105E+15;set/21;396;YES;2;$26546;nov/09;2009;No
4905;1116;Mastercard;Debit;5,66883E+15;jan/21;356;YES;1;$23253;set/17;2017;No
79;1116;Visa;Credit;4,40006E+15;fev/21;497;YES;1;$16100;jan/05;2014;No
301;1116;Visa;Credit;4,80855E+15;fev/21;921;YES;2;$8700;jan/12;2012;No
3115;1116;Mastercard;Debit;5,22474E+15;jan/19;922;YES;1;$29333;mai/12;2012;No
3880;1752;Mastercard;Debit;5,29418E+15;jul/24;265;YES;2;$9496;jul/09;2012;No
1766;192;Visa;Debit;4,8578E+15;jul/21;930;YES;1;$25499;fev/20;2020;No
1767;192;Visa;Debit;4,32406E+15;fev/20;358;YES;1;$18641;fev/20;2020;No
745;640;Visa;Debit;4,85264E+15;mai/23;995;YES;1;$26019;jan/20;2020;No
1459;1679;Mastercard;Debit;5,65638E+15;jan/21;547;YES;1;$25845;fev/20;2020;No
138;1094;Visa;Debit;4,55693E+15;jun/23;64;YES;2;$2365;jan/07;2009;No
3755;1094;Mastercard;Debit;5,51578E+15;jun/23;419;YES;2;$18684;jul/06;2017;No
1768;1094;Visa;Credit;4,50839E+15;fev/21;364;NO;2;$7400;fev/20;2020;No
5924;1590;Mastercard;Debit;5,54827E+15;dez/24;145;YES;2;$4147;dez/08;2016;No
6074;1660;Visa;Debit (Prepaid);4,98627E+15;abr/22;385;YES;1;$76;dez/12;2012;No
5923;1660;Discover;Credit;6,72606E+15;jan/09;105;NO;1;$4700;dez/08;2014;No
4223;1660;Visa;Credit;4,15711E+15;jun/21;433;YES;2;$5800;ago/07;2011;No
4455;1660;Mastercard;Debit;5,23146E+15;mar/24;754;YES;2;$12082;ago/16;2016;No
3234;1660;Mastercard;Credit;5,07484E+15;mar/23;741;NO;2;$6000;jun/02;2010;No
1005;1660;Visa;Debit;4,98637E+15;nov/09;367;YES;1;$620;fev/02;2014;No
151;1747;Mastercard;Debit;5,89201E+15;ago/22;879;YES;1;$14499;jan/08;2008;No
4198;1747;Mastercard;Debit;5,17916E+15;jul/23;457;YES;2;$12332;ago/07;2009;No
4403;1747;Mastercard;Debit;5,56964E+15;set/24;904;YES;1;$18424;ago/13;2013;No
4120;1747;Visa;Credit;4,70891E+15;jul/23;149;NO;1;$15400;ago/03;2008;No
4224;1747;Visa;Debit;4,79572E+15;fev/22;136;YES;2;$14548;ago/07;2013;No
4895;1747;Mastercard;Credit;5,30016E+15;dez/16;740;YES;2;$10100;set/16;2016;No
1028;153;Discover;Credit;6,58024E+15;abr/11;416;YES;1;$11200;fev/04;2008;No
5956;153;Mastercard;Debit;5,03246E+15;out/24;240;YES;2;$20291;dez/09;2011;No
107;153;Visa;Debit;4,38232E+15;ago/18;852;YES;1;$32092;jan/06;2010;No
440;153;Mastercard;Debit;5,45681E+15;fev/20;217;YES;1;$20463;jan/20;2020;No
746;429;Visa;Debit;4,46536E+15;ago/22;738;YES;1;$15802;jan/20;2020;No
1769;429;Visa;Debit;4,66845E+15;fev/20;314;NO;2;$4612;fev/20;2020;No
421;429;Discover;Credit;6,3776E+15;jul/20;675;YES;2;$19900;jan/20;2020;No
974;511;Mastercard;Debit (Prepaid);5,11709E+15;out/20;42;YES;1;$73;fev/00;2012;No
4707;511;Mastercard;Debit;5,37786E+15;jan/24;24;YES;1;$11858;set/09;2010;No
7;511;Mastercard;Debit;5,58524E+15;mar/05;749;YES;1;$9664;jan/98;2011;No
2212;511;Mastercard;Debit;5,35528E+15;jun/20;810;YES;1;$8367;mar/09;2009;No
1038;511;Visa;Credit;4,15009E+15;jun/22;135;YES;2;$6100;fev/04;2009;No
1460;309;Mastercard;Debit;5,9793E+15;fev/20;630;YES;3;$9944;fev/20;2020;No
747;309;Visa;Credit;4,47364E+15;jan/20;771;YES;1;$7900;jan/20;2020;No
1770;309;Visa;Credit;4,80012E+15;dez/20;201;YES;1;$5600;fev/20;2020;No
748;777;Visa;Debit;4,83233E+15;ago/23;580;YES;1;$68400;jan/20;2020;No
441;777;Mastercard;Debit;5,27808E+15;abr/23;437;YES;2;$77237;jan/20;2020;No
3679;1946;Visa;Debit;4,86985E+15;ago/24;701;YES;2;$4488;jul/02;2015;No
5701;1946;Visa;Credit;4,23153E+15;fev/20;499;YES;2;$12500;nov/14;2014;No
4510;1674;Mastercard;Debit;5,81361E+15;dez/20;734;YES;2;$23432;set/01;2008;No
2873;1674;Amex;Credit;3,66521E+14;mai/22;447;YES;2;$8800;mai/05;2011;No
1461;482;Mastercard;Credit;5,3927E+15;fev/20;886;YES;2;$12100;fev/20;2020;No
442;877;Mastercard;Debit;5,04815E+15;fev/20;931;YES;1;$9708;jan/20;2020;No
3877;877;Amex;Credit;3,71643E+14;nov/21;683;YES;2;$12000;jul/09;2011;No
2296;877;Mastercard;Debit;5,70073E+15;nov/23;230;YES;1;$11973;mar/12;2012;No
5048;128;Mastercard;Debit;5,38944E+15;fev/22;658;YES;2;$13601;out/06;2014;No
1462;128;Mastercard;Credit;5,07912E+15;jan/24;849;YES;2;$7800;fev/20;2020;No
4269;775;Visa;Debit;4,39043E+15;out/23;790;YES;2;$17816;ago/08;2016;No
5188;1536;Mastercard;Debit;5,21757E+15;mar/21;625;NO;2;$17707;out/10;2010;No
2874;1536;Amex;Credit;3,97857E+14;nov/20;2;YES;1;$9500;mai/05;2009;No
3041;140;Mastercard;Debit;5,52918E+15;jan/22;182;YES;1;$19110;mai/10;2011;No
5312;140;Mastercard;Debit;5,48902E+15;ago/23;196;YES;1;$13428;out/16;2016;No
4150;140;Mastercard;Debit;5,79368E+15;jun/22;43;YES;1;$24608;ago/05;2009;No
152;140;Mastercard;Debit;5,84537E+15;set/22;111;YES;1;$13441;jan/08;2011;No
443;1884;Mastercard;Debit (Prepaid);5,75029E+15;fev/20;788;YES;2;$74;jan/20;2020;No
3377;1874;Mastercard;Debit;5,42979E+15;out/12;674;YES;1;$17872;jun/08;2008;No
5789;1874;Mastercard;Credit;5,30111E+15;set/22;425;YES;1;$12900;dez/03;2010;No
2106;1874;Mastercard;Debit;5,5711E+15;mai/24;52;YES;2;$25264;mar/06;2020;No
2078;1874;Mastercard;Debit;5,40195E+15;dez/22;920;YES;2;$20634;mar/05;2007;No
5866;1310;Visa;Credit;4,29536E+15;abr/07;656;YES;2;$12200;dez/06;2010;No
173;1310;Visa;Credit;4,73748E+15;fev/10;221;YES;2;$5500;jan/08;2008;No
1771;1689;Visa;Credit;4,50937E+15;mar/20;281;NO;2;$6600;fev/20;2020;No
6132;1689;Mastercard;Debit;5,06826E+15;nov/20;890;YES;1;$25815;dez/17;2017;No
327;379;Amex;Credit;3,54813E+14;jun/21;527;YES;2;$8400;jan/14;2014;No
2019;379;Mastercard;Debit;5,91093E+15;fev/20;525;YES;1;$21628;mar/01;2008;No
3881;379;Mastercard;Debit;5,40018E+15;out/21;412;YES;1;$24232;jul/09;2009;No
1166;34;Mastercard;Debit;5,03905E+15;nov/23;339;YES;2;$10775;fev/09;2010;No
3342;34;Mastercard;Debit (Prepaid);5,67201E+15;fev/20;598;YES;2;$105;jun/07;2013;No
5622;822;Visa;Credit;4,33673E+15;jan/21;221;NO;2;$7100;nov/10;2010;No
5424;822;Mastercard;Debit;5,98558E+15;jul/24;951;YES;1;$29351;nov/05;2007;No
2558;822;Mastercard;Debit;5,28106E+15;mar/20;835;YES;2;$15125;abr/08;2012;No
5385;822;Mastercard;Credit;5,61566E+15;nov/21;865;YES;2;$8000;nov/03;2008;No
5596;822;Mastercard;Debit (Prepaid);5,31488E+15;mai/11;994;YES;1;$83;nov/10;2010;No
3991;1499;Amex;Credit;3,11095E+14;jan/24;536;YES;2;$23700;jul/12;2012;No
6126;1780;Visa;Credit;4,62475E+15;fev/24;986;YES;2;$700;dez/16;2016;No
3756;1806;Mastercard;Debit;5,59556E+15;jul/24;594;YES;2;$7488;jul/06;2016;No
971;811;Visa;Credit;4,17102E+15;jan/02;225;NO;1;$24900;fev/99;2010;No
2079;811;Mastercard;Debit;5,24634E+15;jun/21;638;YES;2;$30971;mar/05;2020;No
387;811;Amex;Credit;3,99966E+14;jan/24;343;YES;1;$24400;jan/20;2020;No
444;811;Mastercard;Debit;5,06414E+15;fev/20;599;YES;2;$53549;jan/20;2020;No
5277;811;Visa;Debit;4,90554E+15;set/18;573;YES;1;$53036;out/13;2013;No
4358;811;Mastercard;Debit;5,70385E+15;dez/24;300;YES;1;$35750;ago/11;2011;No
2318;811;Visa;Debit;4,0554E+15;jul/21;902;YES;1;$33375;mar/13;2013;No
6019;1844;Visa;Debit (Prepaid);4,58748E+15;jul/23;858;YES;2;$22;dez/10;2010;No
4421;1844;Discover;Credit;6,52143E+15;nov/20;608;YES;1;$13100;ago/14;2014;No
3702;1844;Visa;Debit;4,19971E+15;out/24;440;YES;1;$16516;jul/03;2011;No
2854;1844;Mastercard;Credit;5,17274E+15;jul/16;906;YES;1;$15700;mai/04;2011;No
4114;1844;Mastercard;Debit;5,21464E+15;mai/24;474;YES;1;$21058;ago/03;2007;No
28;1852;Visa;Debit;4,01388E+15;out/23;543;YES;2;$36425;jan/02;2004;No
6127;1852;Visa;Debit (Prepaid);4,96605E+15;mar/21;585;YES;2;$91;dez/16;2016;No
2477;1852;Mastercard;Credit;5,24758E+15;set/21;379;YES;1;$13400;abr/05;2014;No
2632;1852;Mastercard;Credit;5,91132E+15;abr/21;37;YES;2;$21600;abr/10;2010;No
1463;1231;Mastercard;Debit;5,05877E+15;fev/20;12;NO;1;$9090;fev/20;2020;No
5679;970;Visa;Debit;4,68288E+15;fev/23;846;NO;1;$25942;nov/12;2012;No
1012;970;Mastercard;Credit;5,88284E+15;jul/19;614;YES;2;$10700;fev/03;2013;No
1464;970;Mastercard;Credit;5,63715E+15;jul/22;630;YES;2;$4900;fev/20;2020;No
1465;381;Mastercard;Credit;5,1157E+15;abr/22;587;NO;1;$18100;fev/20;2020;No
388;1134;Amex;Credit;3,2464E+14;mar/24;659;YES;2;$7200;jan/20;2020;No
3708;1296;Mastercard;Debit;5,03343E+15;fev/20;546;YES;2;$22660;jul/04;2007;No
3087;1296;Discover;Credit;6,96995E+15;dez/22;588;YES;1;$19800;mai/11;2011;No
67;1296;Mastercard;Credit;5,18123E+15;nov/24;820;YES;2;$15500;jan/05;2014;No
80;1296;Visa;Debit (Prepaid);4,31069E+15;jun/23;458;YES;1;$13;jan/05;2008;No
3665;1296;Mastercard;Debit;5,05107E+15;jun/21;526;YES;2;$4317;jul/01;2011;No
